profile_identifier;latitude;longitude;clay.15.30.cm;silt.15.30.cm;sand.15.30.cm;trans_1.15.30.cm;trans_2.15.30.cm
IGAC-TOL-S-13;4.899350;-74.889542;18.1;18.7;63.2;1.253771;0.035335
IGAC-TOL-S-5;5.073119;-74.817728;30.1;19.1;50.8;0.525788;-0.453652
IGAC-TOL-T-10;3.997976;-74.542570;10.0;8.0;82.0;2.104134;-0.223144
IGAC-TOL-T-11N;4.814674;-74.915794;13.6;22.5;63.8;1.543670;0.501463
IGAC-TOL-T-12;4.038155;-74.552287;12.0;8.0;80.0;1.897120;-0.405465
IGAC-TOL-T-15;4.124014;-74.736444;34.8;32.2;32.9;-0.055457;-0.076633
IGAC-TOL-T-16;4.127827;-74.687903;14.0;12.0;74.0;1.665008;-0.154151
IGAC-TOL-T-17;4.144237;-74.680810;40.6;26.9;32.6;-0.220821;-0.413381
IGAC-TOL-T-18;4.089644;-74.641179;30.4;35.4;34.2;0.119029;0.152155
IGAC-TOL-T-19;4.043924;-74.702083;26.1;42.5;31.4;0.183370;0.487593
IGAC-TOL-T-21;3.945106;-74.865645;34.3;24.4;41.3;0.184082;-0.341275
IGAC-TOL-T-22;3.918551;-74.726137;24.8;24.3;50.9;0.717647;-0.023161
IGAC-TOL-T-24;3.961288;-74.816526;22.0;16.0;62.0;1.036092;-0.318454
IGAC-TOL-T-3;4.138161;-74.545604;30.3;40.7;28.9;-0.048448;0.294792
IGAC-TOL-T-5;3.897130;-74.575258;31.4;15.2;53.5;0.532901;-0.725910
IGAC-TOL-T-7;3.845904;-74.684565;44.0;42.1;13.9;-1.151005;-0.042543
IGAC-TOL-T-7C;3.753693;-75.346847;38.0;28.0;34.0;-0.111226;-0.305382
IGAC-TOL-T-8;4.052500;-74.544930;36.0;26.0;38.0;0.054067;-0.325422
IGAC-TOL-TA-7;4.800991;-74.877774;13.9;20.1;66.1;1.560206;0.369079
IGAC-TOL-TC-2;3.923198;-74.535694;30.7;10.8;58.5;0.642613;-1.046858
IGAC-TOL-TG-11;3.998780;-74.549990;7.6;8.2;84.2;2.408972;0.081478
IGAC-TOL-TI-1;3.874668;-74.542824;35.7;13.6;50.7;0.351287;-0.968320
IGAC-TOL-TL-5;4.838392;-75.079831;30.0;14.6;55.5;0.616300;-0.721608
IGAC-TOL-TM-53;5.083899;-75.224151;36.8;4.8;58.4;0.460323;-2.045137
IGAC-TOL-TS-1;3.994133;-75.702895;28.0;6.0;66.0;0.857450;-1.540445
IGAC-TOL-TS-10;4.003156;-75.496993;12.1;14.5;73.3;1.798601;0.181398
IGAC-TOL-TS-21;3.875543;-75.491756;22.0;22.6;55.4;0.923650;0.026632
IGAC-TOL-TS-22;4.050212;-75.313542;25.7;4.9;69.5;0.995206;-1.663594
IGAC-TOL-TS-23;4.039235;-75.288787;19.2;11.5;69.2;1.280701;-0.510688
