Occurrence Date,Department,Municipality,Lat,Long,Confidence ratio (km),Deaths,Trigger,Source,Rain Yesterday,Rain Today,Landslide
2010-12-23,NARIÑO,LA CRUZ,1.58,-76.92,8.72,13,Unknown,UNGRD,9.2,6.9,1
2010-12-27,NARIÑO,PASTO,1.21,-77.28,2.5,1,Unknown,UNGRD,3.2,2.6,1
2011-02-21,NARIÑO,CUMBITARA,1.73,-77.59,10.64,1,Unknown,UNGRD,14.7,7.2,1
2011-03-03,SANTANDER,CALIFORNIA,7.33,-72.95,3.78,3,Rainfall,UNGRD,9.7,3.3,1
2011-03-09,NORTE DE SANTANDER,LA ESPERANZA,7.7,-73.36,14.61,2,Unknown,UNGRD,0.0,7.8,1
2011-03-09,CALDAS,PACORA,5.5,-75.48,9.09,2,Rainfall,UNGRD,11.2,11.6,1
2011-03-09,BOYACA,JERICO (B),6.16,-72.59,6.48,1,Rainfall,UNGRD,2.4,11.2,1
2011-03-19,ANTIOQUIA,ARGELIA (A),5.71,-75.09,8.85,1,Unknown,UNGRD,5.0,18.1,1
2011-03-20,NARIÑO,SAN LORENZO,1.54,-77.22,8.9,2,Unknown,UNGRD,6.2,15.0,1
2011-03-23,NORTE DE SANTANDER,PAMPLONA,7.38,-72.68,9.76,1,Unknown,UNGRD,12.7,5.3,1
2011-04-05,NARIÑO,SANDONA,1.29,-77.46,5.68,2,Unknown,UNGRD,2.9,15.2,1
2011-04-10,ANTIOQUIA,ANDES,5.61,-75.94,11.41,2,Unknown,UNGRD,11.7,5.5,1
2011-04-10,ANTIOQUIA,MEDELLIN,6.25,-75.58,6.5,4,Unknown,UNGRD,29.1,38.0,1
2011-04-11,NARIÑO,EL TAMBO (N),1.43,-77.38,8.86,5,Unknown,UNGRD,16.7,8.1,1
2011-04-12,NARIÑO,RICAURTE (N),1.15,-78.06,18.33,3,Unknown,UNGRD,5.4,13.4,1
2011-04-12,CASANARE,YOPAL,5.24,-72.26,28.13,1,Unknown,UNGRD,24.6,43.4,1
2011-04-12,CALDAS,PACORA,5.5,-75.48,9.09,1,Unknown,UNGRD,28.9,26.8,1
2011-04-13,CALDAS,MANIZALES,5.07,-75.49,11.0,21,Rainfall,UNGRD,6.0,8.0,1
2011-04-13,SANTANDER,CHARTA,7.28,-72.98,6.34,1,Unknown,UNGRD,18.1,9.1,1
2011-04-13,SANTANDER,EL CARMEN DE CHUCURI,6.56,-73.67,1.44,1,Unknown,UNGRD,19.7,11.7,1
2011-04-14,ANTIOQUIA,SAN ROQUE,6.5,-75.04,1.65,4,Unknown,UNGRD,88.1,2.0,1
2011-04-15,SANTANDER,FLORIAN,5.8,-73.96,7.46,11,Rainfall,UNGRD,6.2,9.8,1
2011-04-15,RISARALDA,DOSQUEBRADAS,4.84,-75.67,4.74,1,Unknown,UNGRD,23.1,30.1,1
2011-04-16,CUNDINAMARCA,BOJACA,4.71,-74.34,5.72,1,Unknown,UNGRD,13.5,21.3,1
2011-04-21,CUNDINAMARCA,VILLAPINZON,5.23,-73.58,8.47,1,Unknown,UNGRD,9.1,18.7,1
